X,Y,FID,ID,Year,Reported_D,Reported_T,Reported_W,Occurrence,Occurren_1,Occurren_2,Location_T,Primary_Of,Bicycle_St,Bicycle_Va,Bicycle_Ma,Bicycle_Mo,Bicycle_Ty,Bicycle_Fr,Bicycle_Co,Bicycle_Sp,Ottawa_Nei,Ottawa_N_1,Ottawa_N_2,Census_Tra,Census_T_1,X_Coordina,Y_Coordina
-8426130.17436774,5686537.03655694,2248,2371,2021,2021/01/22 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/09 00:00:00+00,1899/12/30 00:00:00+00,Friday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,683,NORCO,SCENE II,REGULAR,WOMEN'S,BLUE,0,Centretown,Sector 23,Central,5050038,38,367949.305,5030488.615
-8425533.2480709,5687571.24170827,2249,2370,2021,2021/01/21 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2021/01/11 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,300,CCM,1980S,REGULAR,UNISEX,BLUE,0,Centretown,Sector 23,Central,5050037,37,368361.7071,5031217.574
-8419526.79405563,5691771.65175778,2250,2854,2021,2021/01/20 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,NURSING HOME,THEFT <BICYCLE,STOLEN,N/A,SCHWINN,N/A,TRICYCLE,MEN'S,RED,1,Carson Grove - Carson Meadows,Sector 32,East,5050062.01,62.01,372552.8687,5034204.2785
-8427082.75880853,5687084.47793727,2251,2062,2021,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2021/01/15 00:00:00+00,1899/12/30 00:00:00+00,Saturday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,510,TREK,FX 1 NOIR 20,HYBRID,MEN'S,BLACK,7,Overbrook - McArthur,Sector 25,Central,5050040,40,367275.7041,5030865.5721
-8423331.34339232,5689280.76182363,2252,2472,2021,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/17 00:00:00+00,1899/12/30 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,FOUND,N/A,SUPERCYCLE,UNK,RACER,WOMEN'S,BLUEE,5,Centretown,Sector 23,Central,5050101,101,369897.3729,5032431.186
-8423331.34339232,5689280.76182363,2253,2958,2021,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/17 00:00:00+00,1899/12/30 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,800,TREK,VERVE 2 DISK LO,HYBRID,WOMEN'S,SILK,21,Overbrook - McArthur,Sector 25,Central,5050101,101,369897.3729,5032431.186
-8426785.55408837,5687652.34318068,2254,2959,2021,2021/01/16 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/31 00:00:00+00,1899/12/30 00:00:00+00,Saturday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,1000,GIANT,ROMA,HYBRID,MEN'S,SILK,24,Centretown,Sector 23,Central,5050048,48,367480.7041,5031265.5759
-8426962.84984055,5687415.78653164,2255,2542,2021,2021/01/15 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/11/10 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,RECOVERED,800,GIANT,ESCAPE 2019,HYBRID,MEN'S,GRAY,40,Sandy Hill,Sector 24,Central,5050038,38,367357.7041,5031098.574
-8425440.09115695,5689053.18148807,2256,2957,2021,2021/01/15 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/15 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,1600,MARIN,N/A,HYBRID,MEN'S,SILK,7,Centretown,Sector 23,Central,5050053,53,368416.706,5032256.5841
-8427557.88559828,5687076.35245225,2257,2530,2021,2021/01/13 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/01/13 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,2000,ECLIPSE,TURMOIL,HYBRID,UNISEX,GRAY,14,Centretown,Sector 23,Central,5050048,48,366941.703,5030856.5721
-8427557.88559828,5687076.35245225,2258,2715,2021,2021/01/13 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/01/13 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,N/A,OTHER,MEN'S,N/A,1,Centretown,Sector 23,Central,5050048,48,366941.703,5030856.5721
-8425130.73136606,5688977.24372569,2259,2061,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/12/07 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,COMMERCIAL DWELLING UNIT,THEFT <BICYCLE,STOLEN,3000,FELT,Z10,REGULAR,UNISEX,BLACK,21,Byward Market,Sector 24,Central,5050051,51,368634.706,5032205.583
-8425499.05718169,5689158.531216,2260,2327,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,N/A,FS,N/A,MOUNTAIN,MEN'S,BLACK RED,21,Sandy Hill,Sector 24,Central,5050054,54,368374.511,5032329.974
-8425499.05718169,5689158.531216,2261,2351,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,N/A,SUPERCYCLE,N/A,MOUNTAIN,MEN'S,BLUE,10,Byward Market,Sector 24,Central,5050054,54,368374.511,5032329.974
-8423022.0970277,5682958.48572224,2262,1872,2021,2021/07/25 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2021/07/24 00:00:00+00,1899/12/30 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,N/A,TREK,N/A,HYBRID,WOMEN'S, N/A,18,Old Ottawa East,Sector 22,Central,5050005,5,370160.72,5028002.5449
-8425894.48735196,5688916.33794564,2263,2782,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,N/A,N/A,NA,N/A,N/A,N/A,N/A,0,Sandy Hill,Sector 24,Central,5050054,54,368098.2585,5032157.4886
-8425662.85389017,5689447.23798118,2264,2783,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,N/A,N/A,NA,N/A,N/A,N/A,N/A,0,Byward Market,Sector 24,Central,5050054,54,368257.334,5032531.0775
-8425130.73136606,5688977.24372569,2265,3029,2021,2021/01/12 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/12/07 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,COMMERCIAL DWELLING UNIT,THEFT <BICYCLE,STOLEN,N/A,ROAD COUNTRY,N/A,MOUNTAIN,UNISEX,TRQ,6,Byward Market,Sector 24,Central,5050051,51,368634.706,5032205.583
-8425385.86561551,5687799.51483475,2266,2007,2021,2021/01/10 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/28 00:00:00+00,1899/12/30 00:00:00+00,Sunday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,N/A,RALEIGH,TORA,MOUNTAIN,MEN'S,BLACK,21,Centretown,Sector 23,Central,5050049,49,368463.7071,5031378.5759
-8425385.86561551,5687799.51483475,2267,2060,2021,2021/01/10 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/28 00:00:00+00,1899/12/30 00:00:00+00,Sunday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,600,GARY FISHER,HYBRID,HYBRID,MEN'S,BLACK,10,Centretown,Sector 23,Central,5050049,49,368463.7071,5031378.5759
-8425385.86561551,5687799.51483475,2268,2950,2021,2021/01/10 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/28 00:00:00+00,1899/12/30 00:00:00+00,Sunday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,N/A,DEL SOL,2206-DLSOLLOZE,HYBRID,UNISEX,SILK,21,Centretown,Sector 23,Central,5050049,49,368463.7071,5031378.5759
-8423331.34339232,5689280.76182363,2269,1921,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,N/A,TOURING,WOMEN'S, WHITE,21,Overbrook - McArthur,Sector 25,Central,5050101,101,369897.3729,5032431.186
-8423331.34339232,5689280.76182363,2270,2518,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,227,MINELLI,N/A,MOUNTAIN,MEN'S,GRAY,21,Overbrook - McArthur,Sector 25,Central,5050101,101,369897.3729,5032431.186
-8435655.53691848,5672852.41100122,2271,2541,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,RECOVERED,420,MONGOOSE,MUSHABOOM 04R57,MOUNTAIN,MEN'S,GRAY,7,Overbrook - McArthur,Sector 25,Central,5050135.02,135.02,361337.6781,5020827.483
-8423331.34339232,5689280.76182363,2272,2636,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,500,GARY FISHER,MARLIN,HYBRID,MEN'S,GREEN,18,Overbrook - McArthur,Sector 25,Central,5050101,101,369897.3729,5032431.186
-8423331.34339232,5689280.76182363,2273,2639,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,496,MINELLI,MOUNT ECHO,REGULAR,MEN'S,GREEN,10,Overbrook - McArthur,Sector 25,Central,5050101,101,369897.3729,5032431.186
-8423331.34339232,5689280.76182363,2274,2713,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,NORCO,N/A,HYBRID,UNISEX,N/A,21,Centretown,Sector 23,Central,5050101,101,369897.3729,5032431.186
-8427557.88559828,5687076.35245225,2275,2714,2021,2021/01/08 00:00:00+00,1899/12/30 00:00:00+00,Friday,2021/01/03 00:00:00+00,1899/12/30 00:00:00+00,Friday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,N/A,OTHER,UNISEX,N/A,0,Trend-Arlington,Sector 15,West,5050048,48,366941.703,5030856.5721
-8426984.67389728,5685642.31807882,2276,2369,2021,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2021/01/05 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,300,UNKNOWN,UNKNOWN,TOURING,WOMEN'S,BLUE,1,Centretown,Sector 23,Central,5050039,39,367354.706,5029855.563
-8426984.67389728,5685642.31807882,2277,2495,2021,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2021/01/05 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,800,ECLIPSE,N/A,HYBRID,MEN'S,DARK GREEN,18,Centretown,Sector 23,Central,5050039,39,367354.706,5029855.563
-8427691.36085652,5685740.66732876,2278,2853,2021,2021/01/06 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2021/01/05 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,180,RALEIGH,TARANTULA,MOUNTAIN,MEN'S,RED,21,West Centretown,Sector 22,Central,5050042,42,366857.0819,5029919.577
-8426034.06410639,5687415.04093707,2279,2367,2021,2021/01/04 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/06/07 00:00:00+00,1899/12/30 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,60,UNKNOWN,N/A,MOUNTAIN,UNISEX,BLUE,1,Centretown,Sector 23,Central,5050037,37,368010.706,5031104.574
-8432996.4212811,5664003.06486534,2280,2368,2021,2021/01/04 00:00:00+00,1899/12/30 00:00:00+00,Monday,2021/01/01 00:00:00+00,1899/12/30 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,400,CCM,UNKNOWN,MOUNTAIN,MEN'S,BLUE,24,Centretown,Sector 23,Central,5050140.05,140.05,363267.6811,5014630.429
-8426034.06410639,5687415.04093707,2281,2852,2021,2021/01/04 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/06/07 00:00:00+00,1899/12/30 00:00:00+00,Monday,"STREETS, ROADS, HIGHWAYS",THEFT <BICYCLE,STOLEN,60,UNKNOWN,N/A,MOUNTAIN,UNISEX,RED,3,Old Barrhaven East,Sector 16,West,5050037,37,368010.706,5031104.574
-8432996.4212811,5664003.06486534,2282,2956,2021,2021/01/04 00:00:00+00,1899/12/30 00:00:00+00,Monday,2021/01/01 00:00:00+00,1899/12/30 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,600,CCM,DS-650,MOUNTAIN,MEN'S,SILK,21,Old Barrhaven East,Sector 16,West,5050140.05,140.05,363267.6811,5014630.429
-8421534.84001019,5693268.59263424,2283,3574,2020,2020/12/27 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/19 00:00:00+00,1899/12/30 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,4000,FOCUS,RAVEN,MOUNTAIN,MEN'S,BLACK,1,Glebe - Dows Lake,Sector 22,Central,5050059,59,371130.7079,5035237.6071
-8426054.83102714,5685339.08770297,2284,3620,2020,2020/12/27 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/24 00:00:00+00,1899/12/30 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,600,GIANT,ESCAPE 3,HYBRID,MEN'S,BLACK GREEN,21,Glebe - Dows Lake,Sector 22,Central,5050018,18,368010.7079,5029649.5611
-8426054.83102714,5685339.08770297,2285,3781,2020,2020/12/27 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/24 00:00:00+00,1899/12/30 00:00:00+00,Sunday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,UNKNOWN,MOUNTAIN,MEN'S,BLUE,21,Manor Park,Sector 25,Central,5050018,18,368010.7079,5029649.5611
-8430528.5586139,5685782.51640571,2286,3593,2020,2020/12/26 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/24 00:00:00+00,1899/12/30 00:00:00+00,Saturday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,678,G.T.,TRAFFIC X700C,HYBRID,MEN'S,BLACK  ORANGE,0,Hintonburg - Mechanicsville,Sector 21,Central,5050046,46,364861.6959,5029929.5649
-8426943.87464502,5686459.50434186,2287,4342,2020,2020/12/24 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/12/15 00:00:00+00,1899/12/30 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,600,GIANT,XL,HYBRID,MEN'S,SILK,21,Centretown,Sector 23,Central,5050040,40,367377.7049,5030428.5679
-8431832.32744544,5666421.76356899,2288,3252,2020,2020/12/23 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/11/22 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,THEFT <BICYCLE,STOLEN,350,NAKAMURA,N/A,MOUNTAIN,MEN'S, WHITE,18,Old Barrhaven East,Sector 16,West,5050141.05,141.05,364072.3277,5016337.0991
-8425294.22587126,5683770.66535901,2289,3573,2020,2020/12/23 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/12/01 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,300,GIANT,N/A,TOURING,MEN'S,BLACK,7,Old Ottawa South,Sector 22,Central,5050017,17,368556.7121,5028555.551
-8452494.60821566,5663735.24609398,2290,3251,2020,2020/12/22 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/12/20 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,800,SPECIALIZED,HARDROCK,MOUNTAIN,MEN'S, WHITE,21,Stittsville,Sector 13,West,5050151.04,151.04,349524.7871,5014330.211
-8427056.82745927,5684961.05237861,2291,4135,2020,2020/12/22 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/06/01 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,COMMERCIAL DWELLING UNIT,THEFT <BICYCLE,N/A,N/A,NA,N/A,N/A,N/A,N/A,0,Glebe - Dows Lake,Sector 22,Central,5050035,35,367308.706,5029377.5589
-8427056.82745927,5684961.05237861,2292,4275,2020,2020/12/22 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/12/07 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,COMMERCIAL DWELLING UNIT,THEFT <BICYCLE,STOLEN,1100,KHS FLITE,500,OTHER,MEN'S,RED,9,Glebe - Dows Lake,Sector 22,Central,5050035,35,367308.706,5029377.5589
-8423794.69043511,5690802.12693683,2293,3572,2020,2020/12/21 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/12/19 00:00:00+00,1899/12/30 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,1500,TREK,MADONE,OTHER,MEN'S,BLACK,0,Vanier North,Sector 25,Central,5050104,104,369560.7071,5033493.594
-8427210.27085759,5684973.99226202,2294,4117,2020,2020/12/20 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/20 00:00:00+00,1899/12/30 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,3000,SPECIALIZED,N/A,MOUNTAIN,WOMEN'S,N/A,21,Glebe - Dows Lake,Sector 22,Central,5050035,35,367200.706,5029385.5589
-8427492.30344359,5685647.36232159,2295,3981,2020,2020/12/19 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/18 00:00:00+00,1899/12/30 00:00:00+00,Saturday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,700,TREK,NAVIGATOR 300,OTHER,WOMEN'S,GRAY,0,West Centretown,Sector 22,Central,5050042,42,366997.7041,5029855.563
-8426550.52113499,5687257.54281911,2296,3832,2020,2020/12/17 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/12/16 00:00:00+00,1899/12/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,CCM,N/A,HYBRID,MEN'S,DARK GREEN,10,Centretown,Sector 23,Central,5050038,38,367648.7049,5030990.5729
-8426321.62071365,5687390.81883181,2297,4274,2020,2020/12/17 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/11/16 00:00:00+00,1899/12/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,80,LEADER,N/A,MOUNTAIN,MEN'S,RED,18,Centretown,Sector 23,Central,5050037,37,367808.7049,5031085.574
-8427097.20987207,5687636.8987642,2298,3571,2020,2020/12/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/12/13 00:00:00+00,1899/12/30 00:00:00+00,Monday,DWELLING UNIT,THEFT <BICYCLE,RECOVERED,800,DEVINCI,N/A,HYBRID,UNISEX,BLACK,1,Overbrook - McArthur,Sector 25,Central,5050048,48,367261.703,5031252.5759
-8427097.20987207,5687636.8987642,2299,3646,2020,2020/12/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/12/13 00:00:00+00,1899/12/30 00:00:00+00,Monday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,800,DEVINCI,MILANO,HYBRID,UNISEX,BLACK RED,1,Vanier North,Sector 25,Central,5050048,48,367261.703,5031252.5759
-8423794.69043511,5690802.12693683,2300,3780,2020,2020/12/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/11/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,OPEN AREAS,THEFT <BICYCLE,STOLEN,100,OBSCURE CDN. BR,N/A,REGULAR,UNISEX,BLUE,1,Vanier North,Sector 25,Central,5050104,104,369560.7071,5033493.594
-8423794.69043511,5690802.12693683,2301,3831,2020,2020/12/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/11/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,OPEN AREAS,THEFT <BICYCLE,STOLEN,100,CCM,CABRERA,MOUNTAIN,UNISEX,DARK GREEN,15,Centretown,Sector 23,Central,5050104,104,369560.7071,5033493.594
-8422275.05129747,5688333.90041583,2302,4044,2020,2020/12/14 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/11/29 00:00:00+00,1899/12/30 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,2000,NORCO,N/A,MOUNTAIN,MEN'S,GREEN,7,Centretown,Sector 23,Central,5050013,13,370646.8009,5031775.5108
-8421892.39361937,5689133.4391338,2303,4273,2020,2020/12/13 00:00:00+00,1899/12/30 00:00:00+00,Sunday,2020/12/08 00:00:00+00,1899/12/30 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,800,SPECIALIZED,ARIEL,HYBRID,WOMEN'S,RED,1,Overbrook - McArthur,Sector 25,Central,5050013,13,370909.9221,5032338.5161
-8424786.3492549,5688848.12818387,2304,3250,2020,2020/12/10 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/11/15 00:00:00+00,1899/12/30 00:00:00+00,Thursday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,500,N/A,N/A,REGULAR,WOMEN'S, WHITE,0,Old Barrhaven East,Sector 16,West,5050051,51,368877.7079,5032117.5819
-8432167.98346132,5664499.15372868,2305,3570,2020,2020/12/10 00:00:00+00,1899/12/30 00:00:00+00,Thursday,2020/12/09 00:00:00+00,1899/12/30 00:00:00+00,Thursday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,1000,KONA,N/A,MOUNTAIN,MEN'S,BLACK,0,Sandy Hill,Sector 24,Central,5050141.11,141.11,363848.3925,5014984.3701
-8451504.14778059,5660500.7754986,2306,3265,2020,2020/12/09 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/11/15 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,500,SPECIALIZED,N/A,MOUNTAIN,MEN'S, WHITE RED,0,Stittsville,Sector 13,West,5050151.06,151.06,350239.291,5012062.326
-8451504.14778059,5660500.7754986,2307,3316,2020,2020/12/09 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,2020/11/15 00:00:00+00,1899/12/30 00:00:00+00,Wednesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,200,CENTURIAN,N/A,RACER,MEN'S,BLACK,10,Stittsville,Sector 13,West,5050151.06,151.06,350239.291,5012062.326
-8425279.58602573,5685645.13696263,2308,3274,2020,2020/12/08 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,2020/12/06 00:00:00+00,1899/12/30 00:00:00+00,Tuesday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,300,MIELE,ROAD BIKE,TOURING,MEN'S,BEIGE,10,Glebe - Dows Lake,Sector 22,Central,5050036,36,368553.7101,5029869.5619
-8424243.29243126,5689509.14016942,2309,3569,2020,2020/12/07 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/12/04 00:00:00+00,1899/12/30 00:00:00+00,Monday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,RECOVERED,700,MOUNTAIN EQUIPM,CHINOOK,HYBRID,MEN'S,BLACK,21,Sandy Hill,Sector 24,Central,5050052,52,369254.7079,5032584.586
-8425321.49131902,5687694.68056439,2310,3592,2020,2020/12/07 00:00:00+00,1899/12/30 00:00:00+00,Monday,2020/12/01 00:00:00+00,1899/12/30 00:00:00+00,Monday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,1800,MEC,COTE,TOURING,MEN'S,BLACK  ORANGE,12,Centretown,Sector 23,Central,5050049,49,368509.7079,5031305.5751
-8424673.27074961,5686728.44445726,2311,3249,2020,2020/12/05 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/01 00:00:00+00,1899/12/30 00:00:00+00,Saturday,DWELLING UNIT,THEFT <BICYCLE,STOLEN,50,TELLURIDE,N/A,REGULAR,WOMEN'S, WHITE,0,Hunt Club Woods - Quintarra - Revelstoke,Sector 35,East,5050015,15,368972.3359,5030633.1101
-8423466.681064,5679126.96350033,2312,3816,2020,2020/12/05 00:00:00+00,1899/12/30 00:00:00+00,Saturday,2020/12/05 00:00:00+00,1899/12/30 00:00:00+00,Saturday,PARKING LOTS,THEFT <BICYCLE,STOLEN,150,RALEIGH,MATTERHORN,HYBRID,MEN'S,BROWN,21,Old Ottawa East,Sector 22,Central,5050001.01,1.01,369875.7211,5025312.5241
-8426486.16654035,5687149.86938243,2313,3275,2020,2020/12/04 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/12/03 00:00:00+00,1899/12/30 00:00:00+00,Friday,OTHER COMMERCIAL / CORPORATE PLACES,THEFT <BICYCLE,STOLEN,N/A,UNKNOWN,N/A,MOUNTAIN,UNISEX,BEIGE BLACK,1,Centretown,Sector 23,Central,5050038,38,367694.7049,5030915.5721
-8424937.32022854,5683590.83746553,2314,4341,2020,2020/12/04 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/12/01 00:00:00+00,1899/12/30 00:00:00+00,Friday,"SINGLE HOME, HOUSE",THEFT <BICYCLE,STOLEN,500,SPECIALIZED,GLOBE LIVE 1 MI,REGULAR,WOMEN'S,SILK,1,Old Ottawa South,Sector 22,Central,5050017,17,368809.0224,5028432.0319
-8425321.49131902,5687694.68056439,2315,4361,2020,2020/12/04 00:00:00+00,1899/12/30 00:00:00+00,Friday,2020/09/04 00:00:00+00,1899/12/30 00:00:00+00,Friday,PRIVATE PROPERTY STRUCTURE,THEFT <BICYCLE,STOLEN,800,UNKNOWN,N/A,HYBRID,WOMEN'S,TRQ,6,Centretown,Sector 23,Central,5050049,49,368509.7079,5031305.5751
